year,num_pers_veh_us,tot_pop,cm_car_kg,total_m_car_kg,cm_car_kg_plastic,cm_car_kg_rubber,cm_car_kg_fluidlubricants
1970,89244000,203211926
1980,121601000,226545805
1990,143550000,248709873,
1995,,,300.54,1675.57,108.86,67.59,87.09
2000,127721000,281421906,335.92,1769.92,129.73,75.30,93.89
2005,132909000,296174000
2010,129053000,308745538
2015,122322000,334914896
2017,,,386.27,1793.05,155.13,93.44,100.70
2019,121231000,331449281



















